                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1472,                  1.445,                 1.3128,                0.13798,                0.28742,                0.11986,                0.05544,                 1.9147,                 2.7669,                 1.9568,             0.00032558,             0.00032558,             0.00032558
                      2,                  1.354,                 1.7178,                  1.389,                0.08895,                 0.2849,                0.09713,                0.04353,                 1.8828,                 2.9351,                 2.0147,             0.00049583,             0.00049583,             0.00049583
                      3,                  1.591,                 2.0675,                 1.6239,                0.17126,                0.37752,                0.14915,                0.06886,                 1.8801,                 2.6977,                 2.0334,             0.00050109,             0.00050109,             0.00050109
                      4,                 1.5064,                 1.9516,                 1.5566,                0.18705,                0.38112,                0.16762,                0.07846,                 1.8286,                 2.3942,                 1.8728,              0.0002575,              0.0002575,              0.0002575
