                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8397,                 3.9493,                 1.8542,                0.04281,                0.33168,                0.05413,                0.02435,                   1.87,                 5.6723,                 1.9154,             0.00032558,             0.00032558,             0.00032558
                      2,                  1.652,                 2.6513,                 1.6393,                0.10922,                0.29522,                0.09419,                0.04573,                 1.8749,                  3.205,                 1.9622,             0.00033275,             0.00033275,             0.00033275
