                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.53,                 2.0005,                 1.3988,                0.12943,                0.27786,                0.10747,                0.05307,                 1.8443,                 5.0243,                 1.1138,             0.00032558,             0.00032558,             0.00032558
                      2,                 1.5516,                 1.8697,                 1.3819,                0.12129,                0.28431,                0.11192,                0.05592,                 1.8497,                 5.3341,                 1.1489,             0.00049583,             0.00049583,             0.00049583
                      3,                 1.5588,                 1.9349,                 1.4455,                0.16837,                0.28847,                0.11325,                0.05198,                 1.8673,                 5.0774,                 1.1502,             0.00050109,             0.00050109,             0.00050109
                      4,                 1.5083,                 1.9025,                 1.4211,                0.14552,                0.26292,                0.12694,                  0.066,                  1.724,                 4.7516,                 1.0859,              0.0002575,              0.0002575,              0.0002575
